Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2647.29543509952/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x95d2e1f4a42f9a543c191a172f8b40f66d0f1b26610715f36db34d40539d6fb0,19136265,1706822963,2/1/24 21:29,0x483f3d052a50317676e0ad3ad625373da56a126a,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.122924528,0,325.4175426,0.004697804,12.43647389,2303.34,,,Fill Offer ETH
0x380cecb6a2e1416f0bce79deaeaff40bd9482a38b7526bbb5473d1f335bd7721,19136586,1706826815,2/1/24 22:33,0xea5dcbbf41507220b540da81b84dbda4806dcd5d,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.05,0,2779.660207,0.005723103,15.15074547,2303.34,,,New Offer ETH
0x324b4206fe314d143d8b65fb91ed4f1577a90e043e4fdbe75410dc2279db6b83,19136606,1706827055,2/1/24 22:37,0x1e48f1007fa133f643941d58cb6b080dc621e773,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,25.68,0,67982.54677,0.005289954,14.00407229,2303.34,,,New Offer ETH
0xea7a6405b4db4ba832ab8618b3d656abc7f79e846f63ca798bbb541022095c45,19136673,1706827859,2/1/24 22:50,0xd82160b8afe551f6ff088011c16b400a6056e4bc,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.018825639,0,49.83702746,0.00448491,11.87288184,2303.34,,,Fill Offer ETH
0x3416254102498d2c909e022bbfd376300f4b3502e38837d09b23b4fc86a2e2e3,19137283,1706835239,2/2/24 0:53,0x91c497190b8577e7890ca0019a2ebe3ae4f246b4,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.047064097,0,124.5925687,0.003150247,8.339634702,2307.85,,,Fill Offer ETH
0x955bc9411a555dd2775a8f553cb66f014486fe2a7271523c88aefc2cda5e883f,19138078,1706844899,2/2/24 3:34,0x47c0d4fd47896e412559a6201107c96149ce6129,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0,0,0,0.001192175,3.156040708,2307.85,,,Cancel Offer
0x2f6b57a2692c9f137c875a4692db3e07c1032865d718f184ec6c43e1c31e9a17,19138115,1706845355,2/2/24 3:42,0x47c0d4fd47896e412559a6201107c96149ce6129,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,4.5,0,11912.82946,0.003227016,8.542863469,2307.85,,,New Offer ETH
0xe5a3d84ad80279cb5ed5de8559524c4461ea8e91c3535d29e77993fc3dd90780,19138180,1706846135,2/2/24 3:55,0xe8d5ee67a69394e721cdf2481f633c37ac70ab91,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.9,0,5029.861327,0.003176514,8.409170609,2307.85,,,New Offer ETH
0x25f7c97b5ba040d18d27348ae258e466855ab09560772ddf48b1ce2d229c879e,19138287,1706847431,2/2/24 4:17,0xc715f0e197e8b81ebd2efe9d1392bfa2ee0fb5da,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.1,0,264.7295435,0.002840992,7.520944243,2307.85,,,New Offer ETH
0x3a2a3373405e922f81ac31530f5f06d89889911b2f9a6e2a636b6d0c78782ece,19138389,1706848667,2/2/24 4:37,0xe8d5ee67a69394e721cdf2481f633c37ac70ab91,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0,0,0,0.001254146,3.32009591,2307.85,,,Cancel Offer
0x7e3c8270db8ded921c111993bcfdca8918461a5f58bc3118fe6602b3cac2fbfe,19138395,1706848751,2/2/24 4:39,0xe8d5ee67a69394e721cdf2481f633c37ac70ab91,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.9,0,5029.861327,0.003451556,9.137288551,2307.85,,,New Offer ETH
0x9546eb601872876a7de2055a7913500c6cfdf8a4a166ed3dd45520b45dda5865,19138433,1706849219,2/2/24 4:46,0xcad16a85868bc59fb09e76102f9bceeea6ac2f8a,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.5,0,1323.647718,0.003084092,8.164503692,2307.85,,,New Offer ETH
0x0fa14274276d5707da1f099d69ddba3397799a9c366cdf8031422e5d49b8b077,19138642,1706851739,2/2/24 5:28,0x31923e1811cb6d5c26870439d457705505dcf402,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.062065217,0,164.3049667,0.002377541,6.294054097,2307.85,,,Fill Offer ETH
0x9f3255d716f48f9e6b6f77ebe0d0cbbe9b8a08734558f55aeb375dcdc1846354,19138687,1706852279,2/2/24 5:37,0x6c7c0982ff060257ebd2a938da0e819a0da62542,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.105098039,0,278.2255595,0.002211543,5.854606817,2307.85,,,Fill Offer ETH
0x36f897d8e1a0f97e18dcb698e6feca71e05efd629752fd385a27e2f3c9c9620f,19138982,1706855843,2/2/24 6:37,0x86bc9095b4452a1161ef026ab096cbfd21ed106d,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.078947368,0,208.997008,0.003642209,9.642004127,2307.85,,,Fill Offer ETH
0x4d2dfbd380a76ee49c6a6cea632b82f63c60e12cc9f6b5d0f9d28d661544b900,19139104,1706857343,2/2/24 7:02,0x9fb1750da6266a05601855bb62767ebc742707b1,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,5,0,13236.47718,0.00653087,17.28914162,2307.85,,,New Offer ETH
